model,diversification,personalize,lambda_param,NDCG@10,Recall@10,Precision@10,MRR@10,Novelty,CatalogCoverage,APLT,ACLT,CompositeDiv
EASEᴿ,None,NP,,0.07637078690098324,0.07202658973263831,0.049240780911062904,0.16965490823950694,9.62155725149334,0.7712271459559963,0.030043383947939265,0.052763819095477386,0.09877023253089065
VAECF,None,NP,,0.028673872097267114,0.02903008916501761,0.020065075921908895,0.06680353269290362,9.75261474329715,0.739593017250284,0.06388286334056399,0.033165829145728645,0.06348478768478949
NeuMF,None,NP,,0.028449740444700732,0.030801499020817972,0.022017353579175707,0.0628219364390731,9.37593004068906,0.7848621010226218,0.02700650759219089,0.0228643216080402,0.04443420195986082
EASEᴿ,I_DIV,P,0.1,0.06383731554192483,0.06899922591431493,0.047396963123644255,0.13196940743036187,9.660990722839902,0.8372069001136248,0.04143167028199567,0.06532663316582915,0.12119640108859937
EASEᴿ,I_DIV,P,0.2,0.06597056143180816,0.06956645708955939,0.04804772234273318,0.1367123747546741,9.633038653395795,0.8129067245119306,0.03308026030368764,0.058040201005025126,0.10834476431730743
EASEᴿ,I_DIV,P,0.3,0.06667434307333614,0.07024260969087466,0.04837310195227766,0.13677133904899633,9.625680058049907,0.8020607375271149,0.03188720173535792,0.056532663316582916,0.10562072708575347
EASEᴿ,I_DIV,P,0.4,0.06742320082528246,0.07053248160493314,0.04848156182212582,0.13821359708019146,9.625616970465838,0.7940295424026445,0.03188720173535792,0.05603015075376885,0.10467404894488994
EASEᴿ,I_DIV,P,0.5,0.06821768291962382,0.07054279845763227,0.048698481561822125,0.14016845711531176,9.624119253050653,0.7878576593327136,0.031127982646420825,0.05452261306532663,0.10198733212986244
EASEᴿ,I_DIV,P,0.6,0.07061058006857449,0.07085462058344573,0.04869848156182213,0.14938625486347828,9.6235556547093,0.7828994938539409,0.030802603036876354,0.05351758793969849,0.10018660169021035
EASEᴿ,I_DIV,P,0.7,0.07167471062168276,0.07100525929156816,0.04869848156182213,0.15321678201287744,9.622668523170196,0.7789742795165789,0.03036876355748373,0.052763819095477386,0.09883317364692094
EASEᴿ,I_DIV,P,0.8,0.07488538037046259,0.07166505683314445,0.049023861171366596,0.16470405949798572,9.621533349984512,0.7750748889577523,0.02982646420824295,0.05201005025125628,0.09747894566120884
EASEᴿ,I_DIV,P,0.9,0.07593518149957602,0.071809669992942,0.049132321041214747,0.16808439210825327,9.620859746820479,0.7732155769032125,0.029934924078091108,0.05226130653266332,0.09790524021017709
EASEᴿ,A_DIV,P,0.1,0.036127856708640965,0.03996445105303724,0.027223427331887203,0.07044640705161312,13.026944571662636,0.7553713459353373,0.8426247288503255,0.6243718592964824,0.6836527404991871
EASEᴿ,A_DIV,P,0.2,0.055563075435315835,0.05597417766056074,0.039696312364425154,0.1136723995455015,12.118456030286648,0.7498450573287884,0.5930585683297179,0.5452261306532663,0.6313708821426071
EASEᴿ,A_DIV,P,0.3,0.07365458701945891,0.06997625666007096,0.049891540130151846,0.15967100506146056,11.426589413642953,0.7479857452742485,0.38850325379609535,0.41984924623115577,0.537817848633266
EASEᴿ,A_DIV,P,0.4,0.08262695793264459,0.07543914564184472,0.05368763557483731,0.1828547326378129,10.874598472863738,0.7500258237785354,0.25650759219088937,0.32010050251256283,0.44870149848757196
EASEᴿ,A_DIV,P,0.5,0.08265367156418238,0.07547505995650089,0.05303687635574838,0.18430645938780427,10.433837158883758,0.7557845263919016,0.1676789587852495,0.23592964824120602,0.3596035672753306
EASEᴿ,A_DIV,P,0.6,0.0821330459190171,0.07724349111277179,0.05336225596529284,0.17909177770891435,10.129144542632298,0.7592707364941638,0.11084598698481563,0.16909547738693467,0.2765918141649513
EASEᴿ,A_DIV,P,0.7,0.08064550323131255,0.07649390477479066,0.05260303687635575,0.1753120373239679,9.913983607930396,0.7639964879661191,0.07353579175704988,0.1185929648241206,0.2053154121356833
EASEᴿ,A_DIV,P,0.8,0.07923426558044412,0.07477231953910564,0.05130151843817787,0.17478006748614125,9.777278596392174,0.7669920462762112,0.05151843817787419,0.08819095477386935,0.1581924822687201
EASEᴿ,A_DIV,P,0.9,0.07690816826083903,0.07196971120504395,0.04945770065075922,0.1710472402988672,9.683023711867031,0.769135419894639,0.03720173535791757,0.06432160804020101,0.1187152434982314
EASEᴿ,I_DIV+A_DIV,P,0.1,0.045552056128771765,0.052096976766803776,0.036659436008676785,0.08515606170161484,12.337827061988047,0.8089298626174982,0.6588937093275488,0.5587939698492462,0.6609888904931807
EASEᴿ,I_DIV+A_DIV,P,0.2,0.06776570883104366,0.07051253076196327,0.05010845986984816,0.13656991357642118,11.293748891624315,0.7783545088317323,0.35390455531453363,0.39673366834170853,0.525576625750603
EASEᴿ,I_DIV+A_DIV,P,0.3,0.07486881219161809,0.0761806631024511,0.05347071583514099,0.15388690906586783,10.612918584967005,0.7735254622456358,0.20379609544468547,0.2741206030150754,0.40479179598793563
EASEᴿ,I_DIV+A_DIV,P,0.4,0.07619090486743427,0.07617299422276487,0.05303687635574837,0.15856660813276865,10.210638357202953,0.7725441586612952,0.12657266811279827,0.19095477386934673,0.3062193223894636
EASEᴿ,I_DIV+A_DIV,P,0.5,0.07638983424959457,0.07663253151320046,0.0527114967462039,0.15859931825224666,9.982198748913447,0.7719243879764487,0.0851409978308026,0.13618090452261306,0.2315180018132223
EASEᴿ,I_DIV+A_DIV,P,0.6,0.07669600744604249,0.07539103379664852,0.05184381778741865,0.16290629411562166,9.839182704274892,0.7712271459559964,0.06106290672451193,0.10175879396984924,0.17979474962897427
