metric,model,user_group,count,mean,std,f_statistic,p_value
NDCG@10,EASEᴿ,"High (Novelty), High (Gini)",255,0.05358677276943019,0.11309898245098024,8.748146089588095,1.0055124403823905e-05
NDCG@10,EASEᴿ,"High (Novelty), Low (Gini)",215,0.05878775941199771,0.11238336013851848,8.748146089588095,1.0055124403823905e-05
NDCG@10,EASEᴿ,"Low (Novelty), High (Gini)",242,0.10492847106025262,0.1456569501120809,8.748146089588095,1.0055124403823905e-05
NDCG@10,EASEᴿ,"Low (Novelty), Low (Gini)",210,0.08912942950638672,0.13816333767230604,8.748146089588095,1.0055124403823905e-05
NDCG@10,NeuMF,"High (Novelty), High (Gini)",255,0.01876621949310671,0.0585952567086102,4.401372487529598,0.004389917042520837
NDCG@10,NeuMF,"High (Novelty), Low (Gini)",215,0.022799291629286778,0.06476102157608514,4.401372487529598,0.004389917042520837
NDCG@10,NeuMF,"Low (Novelty), High (Gini)",242,0.0349993269400599,0.06818971378394237,4.401372487529598,0.004389917042520837
NDCG@10,NeuMF,"Low (Novelty), Low (Gini)",210,0.038445666188003394,0.0827167747385715,4.401372487529598,0.004389917042520837
NDCG@10,VAECF,"High (Novelty), High (Gini)",255,0.02239806531213577,0.06450762247158602,4.652413981049412,0.0031024305664688803
NDCG@10,VAECF,"High (Novelty), Low (Gini)",215,0.017502023506336433,0.05685706330571649,4.652413981049412,0.0031024305664688803
NDCG@10,VAECF,"Low (Novelty), High (Gini)",242,0.034818747149913794,0.07977956906737745,4.652413981049412,0.0031024305664688803
NDCG@10,VAECF,"Low (Novelty), Low (Gini)",210,0.040651102642591364,0.09085667469142934,4.652413981049412,0.0031024305664688803
NDCG@10,WMF,"High (Novelty), High (Gini)",255,0.04700946396197829,0.11233302862313127,3.575486054307458,0.01365046953600851
NDCG@10,WMF,"High (Novelty), Low (Gini)",215,0.04513672457067524,0.11297992369408853,3.575486054307458,0.01365046953600851
NDCG@10,WMF,"Low (Novelty), High (Gini)",242,0.07587655204572263,0.12125198955439087,3.575486054307458,0.01365046953600851
NDCG@10,WMF,"Low (Novelty), Low (Gini)",210,0.06305479693142825,0.12519058920585166,3.575486054307458,0.01365046953600851
Recall@10,EASEᴿ,"High (Novelty), High (Gini)",255,0.05364564629270512,0.10754744354697388,9.160709811627418,5.627527116732523e-06
Recall@10,EASEᴿ,"High (Novelty), Low (Gini)",215,0.05082953222488106,0.09288265811052884,9.160709811627418,5.627527116732523e-06
Recall@10,EASEᴿ,"Low (Novelty), High (Gini)",242,0.09537538712115894,0.13108661614084957,9.160709811627418,5.627527116732523e-06
Recall@10,EASEᴿ,"Low (Novelty), Low (Gini)",210,0.08914134674848961,0.13198903854290595,9.160709811627418,5.627527116732523e-06
Recall@10,NeuMF,"High (Novelty), High (Gini)",255,0.020356081826670064,0.061216995367641525,4.589010613315818,0.0033869826904600097
Recall@10,NeuMF,"High (Novelty), Low (Gini)",215,0.02552714081783849,0.06653928028555478,4.589010613315818,0.0033869826904600097
Recall@10,NeuMF,"Low (Novelty), High (Gini)",242,0.03687160966380832,0.07014461416065898,4.589010613315818,0.0033869826904600097
Recall@10,NeuMF,"Low (Novelty), Low (Gini)",210,0.04189007817579246,0.08429974002358528,4.589010613315818,0.0033869826904600097
Recall@10,VAECF,"High (Novelty), High (Gini)",255,0.021648699883994003,0.05768619998552086,5.2210069328563105,0.0014092123582256874
Recall@10,VAECF,"High (Novelty), Low (Gini)",215,0.01892055618799805,0.05547056672424901,5.2210069328563105,0.0014092123582256874
Recall@10,VAECF,"Low (Novelty), High (Gini)",242,0.03476672504318795,0.07843763655854821,5.2210069328563105,0.0014092123582256874
Recall@10,VAECF,"Low (Novelty), Low (Gini)",210,0.041732650946936664,0.08662794574521372,5.2210069328563105,0.0014092123582256874
Recall@10,WMF,"High (Novelty), High (Gini)",255,0.044219195836842896,0.09705326355519564,4.170579468726336,0.006035126850876902
Recall@10,WMF,"High (Novelty), Low (Gini)",215,0.039106875037107594,0.09379038068397585,4.170579468726336,0.006035126850876902
Recall@10,WMF,"Low (Novelty), High (Gini)",242,0.06834629290444479,0.1015819052991368,4.170579468726336,0.006035126850876902
Recall@10,WMF,"Low (Novelty), Low (Gini)",210,0.05871887371887372,0.10723595941247284,4.170579468726336,0.006035126850876902
Precision@10,EASEᴿ,"High (Novelty), High (Gini)",255,0.03686274509803922,0.07136162194711497,10.22158454872674,1.264766685142557e-06
Precision@10,EASEᴿ,"High (Novelty), Low (Gini)",215,0.035813953488372095,0.06536141642943012,10.22158454872674,1.264766685142557e-06
Precision@10,EASEᴿ,"Low (Novelty), High (Gini)",242,0.06859504132231406,0.08835336244765911,10.22158454872674,1.264766685142557e-06
Precision@10,EASEᴿ,"Low (Novelty), Low (Gini)",210,0.055714285714285716,0.07634418591596588,10.22158454872674,1.264766685142557e-06
Precision@10,NeuMF,"High (Novelty), High (Gini)",255,0.014509803921568629,0.04048494059913801,4.596449345377235,0.003352300027545909
Precision@10,NeuMF,"High (Novelty), Low (Gini)",215,0.018604651162790697,0.04955792397521192,4.596449345377235,0.003352300027545909
Precision@10,NeuMF,"Low (Novelty), High (Gini)",242,0.02851239669421488,0.05126064155524448,4.596449345377235,0.003352300027545909
Precision@10,NeuMF,"Low (Novelty), Low (Gini)",210,0.027142857142857142,0.053369064130371846,4.596449345377235,0.003352300027545909
Precision@10,VAECF,"High (Novelty), High (Gini)",255,0.015294117647058824,0.03920232905143482,5.125372319192634,0.0016096466457895268
