model,diversification,personalize,lambda_param,NDCG@10,Recall@10,Precision@10,MRR@10,Novelty,CatalogCoverage,APLT,ACLT,CompositeDiv
EASEᴿ,None,NP,,0.14118182391473233,0.06632397910957467,0.12776490066225166,0.2798025070955535,8.986699178697622,0.5519959529065489,0.006589403973509933,0.05386975792703717,0.09815999759705031
VAECF,None,NP,,0.12995505970983426,0.05469091730521841,0.1195198675496689,0.2503891385472511,9.33172108290766,0.4857615894039735,0.034470198675496694,0.15990453460620524,0.24060571863605595
NeuMF,None,NP,,0.1361063269210459,0.060023740119396006,0.1241887417218543,0.26968871544202666,9.633113648860647,0.47231420161883747,0.073841059602649,0.2935560859188544,0.3620736059545617
EASEᴿ,I_DIV,P,0.1,0.11118304766549987,0.05530405064681364,0.11264900662251658,0.20981058814254178,9.188421978255743,0.793405077262693,0.031506622516556296,0.06205250596658711,0.11510278067771451
EASEᴿ,I_DIV,P,0.2,0.1254598430678162,0.06117210832975744,0.12145695364238411,0.241140544518028,9.055433332117529,0.7128219278881532,0.013029801324503314,0.05659734060688715,0.10486824829239069
EASEᴿ,I_DIV,P,0.3,0.13422081702260502,0.06425501691246241,0.12561258278145696,0.2643283533060023,9.004633675930368,0.6668046357615894,0.007019867549668874,0.05114217524718718,0.09499823389378949
EASEᴿ,I_DIV,P,0.4,0.13789355999294656,0.06528073549317846,0.1269701986754967,0.27332433249237886,8.98796677706875,0.6371504782928623,0.005910596026490067,0.05046027957722468,0.0935145091883354
EASEᴿ,I_DIV,P,0.5,0.1403317132184537,0.0656421891931298,0.127682119205298,0.2794710527698938,8.98392044905617,0.6160779985283297,0.006043046357615894,0.05148312308216843,0.09502536441885918
EASEᴿ,I_DIV,P,0.6,0.1411365743900192,0.06611868422258298,0.1281291390728477,0.2808805056238831,8.983406997599474,0.5986662987490802,0.006208609271523178,0.05216501875213092,0.09596784254456676
EASEᴿ,I_DIV,P,0.7,0.14141237745871907,0.06594535201983388,0.1277317880794702,0.282936902133922,8.98468200209043,0.5843818984547462,0.006407284768211921,0.05284691442209342,0.09692838601580096
EASEᴿ,I_DIV,P,0.8,0.1410211982760703,0.06597383039009674,0.12759933774834437,0.280958622411437,8.984907303118549,0.5724981604120677,0.006407284768211921,0.05318786225707467,0.0973330143081281
EASEᴿ,I_DIV,P,0.9,0.1411801339017775,0.06609995469807267,0.12745033112582782,0.281292704719857,8.985559239375274,0.5618837380426784,0.006506622516556291,0.05386975792703717,0.0983138257423277
EASEᴿ,A_DIV,P,0.1,0.042076322008700845,0.028526664545519904,0.04019867549668874,0.09090093818984549,12.467705067447612,0.3580389992641648,0.8603476821192053,0.6287078077054211,0.4562506059517539
EASEᴿ,A_DIV,P,0.2,0.07795851198730215,0.04800352078946977,0.07216887417218543,0.16628712025649112,11.223449054378053,0.41145143487858726,0.5285264900662252,0.596999659052165,0.4871557338127255
EASEᴿ,A_DIV,P,0.3,0.11970513630726581,0.062376981780272615,0.10751655629139074,0.2489455876169452,10.089492777645422,0.4718267108167771,0.2152317880794702,0.5100579611319468,0.49019803853168964
EASEᴿ,A_DIV,P,0.4,0.13770953418714224,0.0669643418119807,0.12410596026490067,0.27631510827288974,9.473069416066272,0.510163723325975,0.07758278145695365,0.3416297306512104,0.4092238431138251
EASEᴿ,A_DIV,P,0.5,0.1408402525059048,0.06811726702724438,0.12753311258278144,0.2785789183222958,9.244984828494754,0.527658204562178,0.038211920529801324,0.21070576201841118,0.30115398126055637
EASEᴿ,A_DIV,P,0.6,0.14187165752824063,0.06801857705639726,0.12874172185430463,0.27939470987070325,9.135292738651659,0.5361938925680648,0.021970198675496686,0.13399249914763042,0.2144059043304758
EASEᴿ,A_DIV,P,0.7,0.14160751536056546,0.06726554985082447,0.12839403973509936,0.2792154157468727,9.073801577049547,0.5430187637969095,0.014205298013245033,0.09648823729969315,0.1638603588375964
EASEᴿ,A_DIV,P,0.8,0.14160155824452345,0.06702099786232127,0.1282450331125828,0.2800990749500683,9.0339018321516,0.5469370860927152,0.010264900662251655,0.07807705421070577,0.1366472652921918
EASEᴿ,A_DIV,P,0.9,0.14130406756031025,0.06661682566865366,0.12796357615894038,0.2795351098496794,9.006481267154902,0.5498252391464312,0.008029801324503311,0.06375724514149335,0.11426448262427727
EASEᴿ,I_DIV+A_DIV,P,0.1,0.05755188975903106,0.036894922545790146,0.05586092715231788,0.12695732155997058,11.412703598000904,0.7371504782928625,0.6191721854304636,0.5601772928741903,0.6365931086167089
EASEᴿ,I_DIV+A_DIV,P,0.2,0.1128134386377519,0.06055708876625449,0.105182119205298,0.23094403710711658,9.909343961479534,0.6370952906548933,0.17596026490066227,0.4432321854756222,0.5227695199322698
EASEᴿ,I_DIV+A_DIV,P,0.3,0.13748803293939396,0.06701815262001469,0.1254635761589404,0.2741723825291706,9.305100082344275,0.6073951434878587,0.04827814569536424,0.25434708489601093,0.35855080333213696
EASEᴿ,I_DIV+A_DIV,P,0.4,0.14092310672775657,0.0676381463446797,0.12799668874172185,0.2797015268579838,9.150287747561823,0.5923013245033113,0.02385761589403974,0.14899420388680532,0.2380952290299767
EASEᴿ,I_DIV+A_DIV,P,0.5,0.1420616105652411,0.067198141761703,0.12849337748344372,0.28274433669715127,9.083173637066688,0.5807763061074319,0.015380794701986757,0.10364814183429935,0.17590366659300982
EASEᴿ,I_DIV+A_DIV,P,0.6,0.14185592117962664,0.06686175323775005,0.12839403973509933,0.28239448649216864,9.046008265271773,0.5724613686534217,0.011374172185430464,0.08421411524036822,0.14682846810293132
EASEᴿ,I_DIV+A_DIV,P,0.7,0.14151852746107232,0.0665408543971535,0.12807947019867552,0.28147488962472406,9.023692364689396,0.5664275202354673,0.009503311258278146,0.0733037845209683,0.1298085011046801
EASEᴿ,I_DIV+A_DIV,P,0.8,0.14166228101898995,0.06656883498465817,0.12798013245033113,0.2818816356564701,9.008074596384827,0.5606604120676969,0.008195364238410595,0.06512103648141834,0.11668862102767158
EASEᴿ,I_DIV+A_DIV,P,0.9,0.14151303580399643,0.06638278939113966,0.1278476821192053,0.28127943340691686,8.99613073249043,0.5561258278145695,0.0072185430463576165,0.058983975451755884,0.10665579381669978
EASEᴿ,I_DIV,NP,0.1,0.1117579485683504,0.0559118696978838,0.11405629139072847,0.20693623199831812,9.170081286731785,0.8084161147902871,0.029155629139072846,0.05762018411183089,0.10757305538402633
EASEᴿ,I_DIV,NP,0.2,0.12795757367175342,0.062499089024149856,0.12278145695364241,0.24705600231262484,9.033442603228247,0.716795437821928,0.009966887417218543,0.055233549266962154,0.10256391091883368
EASEᴿ,I_DIV,NP,0.3,0.1350664481599194,0.06419815744038476,0.12586092715231786,0.2661942210659098,8.991268667236213,0.6681751287711553,0.0060099337748344365,0.04943743607228094,0.09206322974826663
EASEᴿ,I_DIV,NP,0.4,0.1388248394496803,0.06553719571726144,0.1273675496688742,0.2751443419531168,8.981643274863666,0.6384289919058131,0.005645695364238411,0.0484145925673372,0.09000383850132344
EASEᴿ,I_DIV,NP,0.5,0.14046514465719173,0.0659951999729268,0.1280132450331126,0.2784670976558394,8.979903357271292,0.615728476821192,0.006009933774834438,0.05046027957722468,0.09327635984740225
EASEᴿ,I_DIV,NP,0.6,0.140636915369269,0.06586182702503338,0.12773178807947022,0.2795680910333228,8.98085775745957,0.5981052244297278,0.006208609271523178,0.050119331742243436,0.09248842511300918
EASEᴿ,I_DIV,NP,0.7,0.14110238081118748,0.06573802304470024,0.12769867549668876,0.2815096446967308,8.982512514095033,0.583379323031641,0.0063741721854304635,0.05284691442209342,0.09691457329159213
EASEᴿ,I_DIV,NP,0.8,0.14109588456508215,0.06594250799985811,0.12761589403973508,0.2808569194786082,8.983920798327663,0.5718910963944077,0.006407284768211921,0.05284691442209342,0.09675313269449676
EASEᴿ,I_DIV,NP,0.9,0.14125740539549564,0.06616160190496771,0.12748344370860928,0.281729409755072,8.985213450338772,0.5612398822663723,0.006506622516556291,0.05386975792703717,0.09830395955811018
